CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,0,19,15,39
2,0,21,15,81
3,1,20,16,6
4,1,23,16,77
5,1,31,17,40
6,1,22,17,76
7,1,35,18,6
8,1,23,18,94
9,0,64,19,3
10,1,30,19,72
11,0,67,19,14
12,1,35,19,99
13,1,58,20,15
14,1,24,20,77
15,0,37,20,13
16,0,22,20,79
17,1,35,21,35
18,0,20,21,66
19,0,52,23,29
20,1,35,23,98
21,0,35,24,35
22,0,25,24,73
23,1,46,25,5
24,0,31,25,73
25,1,54,28,14
26,0,29,28,82
27,1,45,28,32
28,0,35,28,61
29,1,40,29,31
30,1,23,29,87
31,0,60,30,4
32,1,21,30,73
33,0,53,33,4
34,0,18,33,92
35,1,49,33,14
36,1,21,33,81
37,1,42,34,17
38,1,30,34,73
39,1,36,37,26
40,1,20,37,75
41,1,65,38,35
42,0,24,38,92
43,0,48,39,36
44,1,31,39,61
45,1,49,39,28
46,1,24,39,65
47,1,50,40,55
48,1,27,40,47
49,1,29,40,42
50,1,31,40,42
51,1,49,42,52
52,0,33,42,60
53,1,31,43,54
54,0,59,43,60
55,1,50,43,45
56,0,47,43,41
57,1,51,44,50
58,0,69,44,46
59,1,27,46,51
60,0,53,46,46
61,0,70,46,56
62,0,19,46,55
63,1,67,47,52
64,1,54,47,59
65,0,63,48,51
66,0,18,48,59
67,1,43,48,50
68,1,68,48,48
69,0,19,48,59
70,1,32,48,47
71,0,70,49,55
72,1,47,49,42
73,1,60,50,49
74,1,60,50,56
75,0,59,54,47
76,0,26,54,54
77,1,45,54,53
78,0,40,54,48
79,1,23,54,52
80,1,49,54,42
81,0,57,54,51
82,0,38,54,55
83,0,67,54,41
84,1,46,54,44
85,1,21,54,57
86,0,48,54,46
87,1,55,57,58
88,1,22,57,55
89,1,34,58,60
90,1,50,58,46
91,1,68,59,55
92,0,18,59,41
93,0,48,60,49
94,1,40,60,40
95,1,32,60,42
96,0,24,60,52
97,1,47,60,47
98,1,27,60,50
99,0,48,61,42
100,0,20,61,49
101,1,23,62,41
102,1,49,62,48
103,0,67,62,59
104,0,26,62,55
105,0,49,62,56
106,1,21,62,42
107,1,66,63,50
108,0,54,63,46
109,0,68,63,43
110,0,66,63,48
111,0,65,63,52
112,1,19,63,54
113,1,38,64,42
114,0,19,64,46
115,1,18,65,48
116,1,19,65,50
117,1,63,65,43
118,1,49,65,59
119,1,51,67,43
120,1,50,67,57
121,0,27,67,56
122,1,38,67,40
123,1,40,69,58
124,0,39,69,91
125,1,23,70,29
126,1,31,70,77
127,0,43,71,35
128,0,40,71,95
129,0,59,71,11
130,0,38,71,75
131,0,47,71,9
132,0,39,71,75
133,1,25,72,34
134,1,31,72,71
135,0,20,73,5
136,1,29,73,88
137,1,44,73,7
138,0,32,73,73
139,0,19,74,10
140,1,35,74,72
141,1,57,75,5
142,0,32,75,93
143,1,28,76,40
144,1,32,76,87
145,0,25,77,12
146,0,28,77,97
147,0,48,77,36
148,1,32,77,74
149,1,34,78,22
150,0,34,78,90
151,0,43,78,17
152,0,39,78,88
153,1,44,78,20
154,1,38,78,76
155,1,47,78,16
156,1,27,78,89
157,0,37,78,1
158,1,30,78,78
159,0,34,78,1
160,1,30,78,73
161,1,56,79,35
162,1,29,79,83
163,0,19,81,5
164,1,31,81,93
165,0,50,85,26
166,1,36,85,75
167,0,42,86,20
168,1,33,86,95
169,1,36,87,27
170,0,32,87,63
171,0,40,87,13
172,0,28,87,75
173,0,36,87,10
174,0,36,87,92
175,1,52,88,13
176,1,30,88,86
177,0,58,88,15
178,0,27,88,69
179,0,59,93,14
180,0,35,93,90
181,1,37,97,32
182,1,32,97,86
183,0,46,98,15
184,1,29,98,88
185,1,41,99,39
186,0,30,99,97
187,1,54,101,24
188,0,28,101,68
189,1,41,103,17
190,1,36,103,85
191,1,34,103,23
192,1,32,103,69
193,0,33,113,8
194,1,38,113,91
195,1,47,120,16
196,1,35,120,79
197,1,45,126,28
198,0,32,126,74
199,0,32,137,18
200,0,30,137,83
